join_ip_country,sum_prediction
Algeria,791.4203024
Angola,284.5168747
Argentina,4457.016895
Australia,13911.13039
Austria,4457.982945
Bahrain,424.7346382
Bangladesh,411.9219198
Barbados,327.3180859
Belarus,895.4385286
Belgium,4033.882994
Brazil,11001.05653
Bulgaria,1223.47506
Canada,17072.13484
Chile,2014.695709
China,50734.77469
Colombia,1625.793923
Costa Rica,238.1659035
Croatia,202.223065
Czechia,458.7853742
Denmark,4110.840274
Dominican Republic,94.57332803
Ecuador,686.785489
Egypt,1967.536216
El Salvador,203.8723956
Ethiopia,109.3509216
Finland,4130.424054
France,23021.85555
Georgia,446.3322328
Germany,36309.71544
Ghana,175.0121187
Greece,1681.486584
Hashemite Kingdom of Jordan,203.8788317
Hong Kong,544.3488591
Hungary,869.4173796
Iceland,792.9131795
India,7531.99242
Indonesia,1789.849809
Iran,1272.007324
Iraq,168.3238539
Ireland,4432.421437
Israel,1668.760306
Italy,14047.02201
Japan,52503.76146
Kazakhstan,528.8405397
Kenya,333.5542342
Kuwait,226.4598493
Latvia,673.7915909
Libya,240.7335513
Luxembourg,2248.533265
Malaysia,1080.505054
Malta,233.0710006
Mauritius,91.13049966
Mexico,6171.825971
Morocco,238.9266123
Mozambique,108.3662354
Nepal,96.09407876
Netherlands,18997.96867
New Zealand,1317.753381
Norway,5842.500555
Pakistan,821.2568287
Panama,456.5680946
Peru,1221.929948
Philippines,725.4176683
Poland,3015.268343
Portugal,2104.758505
Puerto Rico,176.6597577
Qatar,732.872924
R̩union,209.5809848
Republic of Korea,25561.31911
Republic of Lithuania,567.520457
Republic of Moldova,565.6153019
Romania,1209.471803
Russia,7817.072145
Saudi Arabia,1707.626948
Serbia,816.2669619
Sierra Leone,67.60439567
Singapore,6387.730227
Slovak Republic,1364.419906
Slovenia,521.5378604
South Africa,6075.119591
Spain,8879.82985
Sri Lanka,71.04462623
Sweden,8582.651928
Switzerland,8054.621764
Taiwan,7758.861711
Thailand,588.3305184
Trinidad and Tobago,626.4966533
Tunisia,612.4201037
Turkey,2790.380371
Ukraine,1410.44581
United Arab Emirates,1296.34036
United Kingdom,35110.55326
United States,384089.5228
Unknown,1735.57348
Uruguay,387.8059164
Venezuela,2310.020662
Vietnam,1482.663271
Zambia,217.832375
